epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.966,0.93022,3.6992,1.35103,0.00476,0.91171,0.12121,0.09248,0.57027,4.12901,1.14291,0.00013,0.00013,0.00013
2,171.61,0.76238,3.09786,1.21557,0.00536,0.93684,0.12294,0.09021,0.68867,4.00645,1.24602,0.000256635,0.000256635,0.000256635
3,250.707,0.75375,2.58547,1.21635,0.00788,0.97222,0.19397,0.14673,0.82004,4.02358,1.33623,0.00036941,0.00036941,0.00036941
4,328.752,0.79608,2.29013,1.21028,0.49688,0.32447,0.33313,0.26474,0.80973,3.36069,1.37892,0.000468325,0.000468325,0.000468325
5,414.617,0.77399,2.11211,1.21763,0.5752,0.42581,0.43587,0.35305,0.86542,3.18246,1.41488,0.00055338,0.00055338,0.00055338
6,500.125,0.76671,2.15163,1.19769,0.4142,0.48598,0.42435,0.35135,0.74276,3.09349,1.25293,0.000624575,0.000624575,0.000624575
7,593.329,0.71495,1.91769,1.14968,0.53334,0.5667,0.54833,0.43254,0.87846,3.25993,1.38795,0.00068191,0.00068191,0.00068191
8,679.015,0.78002,1.93233,1.20657,0.34889,0.68493,0.61916,0.43066,0.98432,3.46436,1.52684,0.0006535,0.0006535,0.0006535
9,767.152,0.76421,1.80749,1.16567,0.62381,0.62578,0.71365,0.5635,0.79552,3.27522,1.29215,0.000604,0.000604,0.000604
10,855.388,0.75597,1.68622,1.17075,0.64462,0.64206,0.72513,0.59285,0.76747,2.5128,1.22998,0.0005545,0.0005545,0.0005545
11,939.088,0.69438,2.00034,1.15382,0.7234,0.50542,0.64436,0.49087,0.95381,2.63245,1.47396,0.000505,0.000505,0.000505
12,7082.13,0.66672,1.91717,1.11964,0.69416,0.77334,0.80448,0.66426,0.78484,2.32838,1.24339,0.0004555,0.0004555,0.0004555
13,7169.29,0.65452,1.75156,1.11822,0.68683,0.81202,0.78235,0.64148,0.78796,2.06747,1.24073,0.000406,0.000406,0.000406
14,7244.4,0.63548,1.76266,1.09856,0.72951,0.7242,0.77142,0.64213,0.77665,2.21964,1.1766,0.0003565,0.0003565,0.0003565
15,7319.47,0.60984,1.5831,1.08382,0.76953,0.82268,0.83558,0.69835,0.74072,1.96707,1.16679,0.000307,0.000307,0.000307
16,7392.8,0.60563,1.61255,1.07467,0.70669,0.78214,0.78123,0.66452,0.72136,2.05479,1.14623,0.0002575,0.0002575,0.0002575
17,7469.95,0.57492,1.51281,1.05204,0.79596,0.73875,0.82163,0.70211,0.74668,1.96381,1.15635,0.000208,0.000208,0.000208
18,7553.09,0.58838,1.44707,1.04275,0.83551,0.85265,0.87792,0.75436,0.71146,1.71922,1.11382,0.0001585,0.0001585,0.0001585
19,7638.62,0.55509,1.38519,1.03357,0.89619,0.84059,0.90249,0.76886,0.70676,1.68323,1.11709,0.000109,0.000109,0.000109
20,7729.57,0.56182,1.36325,1.00513,0.8999,0.84491,0.91136,0.7915,0.69163,1.66706,1.09742,5.95e-05,5.95e-05,5.95e-05
