epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.56,0.42578,2.54639,1.10302,0.47662,0.53521,0.40613,0.37229,0.34532,2.53141,0.90341,0.000254065,0.000254065,0.000254065
2,1238.5,0.33009,1.55437,1.00725,0.47468,0.56019,0.45155,0.40414,0.44268,2.43398,0.99178,0.000500292,0.000500292,0.000500292
3,1847.82,0.32283,1.34063,1.00333,0.40768,0.76803,0.58754,0.55927,0.30968,1.72885,0.84524,0.000736369,0.000736369,0.000736369
4,2455.13,0.30547,1.18675,0.98799,0.47427,0.61767,0.61217,0.57683,0.3684,1.33389,0.94431,0.000723321,0.000723321,0.000723321
5,3063.21,0.28228,1.03868,0.97606,0.46392,0.72183,0.60403,0.56244,0.37656,1.7431,0.93599,0.000708095,0.000708095,0.000708095
6,3671.01,0.27408,0.93181,0.97374,0.56938,0.65233,0.68182,0.64115,0.35745,1.02063,0.91315,0.000692869,0.000692869,0.000692869
7,4276.45,0.27306,0.89627,0.96535,0.77407,0.66028,0.7268,0.68416,0.32748,1.01303,0.85027,0.000677643,0.000677643,0.000677643
8,4883.08,0.26554,0.83068,0.96202,0.5623,0.76242,0.69317,0.65816,0.33275,1.02561,0.85579,0.000662417,0.000662417,0.000662417
9,5490.63,0.24714,0.78491,0.95282,0.68601,0.79278,0.75054,0.71955,0.28407,0.78056,0.79425,0.00064719,0.00064719,0.00064719
10,6099.13,0.24646,0.72464,0.95311,0.68137,0.82359,0.772,0.72644,0.30124,0.73855,0.8172,0.000631964,0.000631964,0.000631964
11,6709.54,0.24828,0.70129,0.95727,0.62574,0.82511,0.77581,0.73742,0.33142,0.85505,0.85783,0.000616738,0.000616738,0.000616738
12,7316.6,0.24387,0.66196,0.95144,0.66353,0.8216,0.81321,0.78093,0.3029,0.72191,0.84455,0.000601512,0.000601512,0.000601512
13,7923.56,0.22684,0.64815,0.94418,0.73963,0.76994,0.80711,0.77927,0.27358,0.61588,0.79275,0.000586286,0.000586286,0.000586286
14,8534.76,0.22526,0.60248,0.94657,0.86833,0.76775,0.83208,0.79804,0.29251,0.58766,0.81411,0.000571059,0.000571059,0.000571059
15,9141.29,0.2156,0.57534,0.94353,0.81983,0.81788,0.85755,0.81856,0.31278,0.53857,0.83442,0.000555833,0.000555833,0.000555833
16,9748.19,0.21678,0.5556,0.94421,0.75223,0.84909,0.8207,0.7797,0.27222,0.55079,0.79646,0.000540607,0.000540607,0.000540607
17,10513,0.21932,0.54196,0.94462,0.72619,0.85566,0.82778,0.78916,0.28926,0.4995,0.81151,0.000525381,0.000525381,0.000525381
18,11347,0.21019,0.5066,0.93377,0.79795,0.84755,0.87047,0.8341,0.29148,0.52696,0.81312,0.000510155,0.000510155,0.000510155
19,12188.1,0.20574,0.51599,0.93845,0.87066,0.84133,0.88164,0.85022,0.28266,0.4825,0.79177,0.000494928,0.000494928,0.000494928
20,13023.9,0.20485,0.49083,0.93355,0.78351,0.87378,0.85849,0.81943,0.29429,0.55238,0.82361,0.000479702,0.000479702,0.000479702
21,13682.7,0.20215,0.48169,0.94148,0.87423,0.82049,0.88328,0.84707,0.27664,0.53556,0.79165,0.000464476,0.000464476,0.000464476
22,14280.5,0.19567,0.46725,0.93202,0.86811,0.84599,0.89379,0.85839,0.28124,0.4825,0.80777,0.00044925,0.00044925,0.00044925
23,14873.9,0.19562,0.46739,0.93248,0.86777,0.84789,0.8981,0.85686,0.26082,0.42261,0.77329,0.000434024,0.000434024,0.000434024
24,15466.4,0.19645,0.44491,0.93159,0.93355,0.82844,0.90552,0.86006,0.28117,0.46132,0.80111,0.000418797,0.000418797,0.000418797
25,16069.3,0.19038,0.41966,0.92788,0.94258,0.85205,0.90855,0.87201,0.28645,0.47482,0.80517,0.000403571,0.000403571,0.000403571
26,16669.4,0.18717,0.41035,0.92839,0.88077,0.85332,0.90797,0.86085,0.30251,0.45639,0.83285,0.000388345,0.000388345,0.000388345
27,17261.6,0.18883,0.42911,0.93074,0.93909,0.84858,0.90288,0.86072,0.28892,0.43463,0.80575,0.000373119,0.000373119,0.000373119
28,17856.8,0.17864,0.39112,0.92243,0.93842,0.86217,0.91608,0.88337,0.2476,0.3861,0.7584,0.000357893,0.000357893,0.000357893
29,18448,0.18428,0.38797,0.92809,0.94655,0.83772,0.9136,0.87693,0.25413,0.36435,0.76956,0.000342666,0.000342666,0.000342666
30,19041.9,0.17664,0.35572,0.92289,0.91746,0.86771,0.91901,0.88294,0.256,0.40354,0.77706,0.00032744,0.00032744,0.00032744
31,19636.7,0.17817,0.37486,0.92657,0.948,0.83864,0.91301,0.88015,0.2802,0.41953,0.80217,0.000312214,0.000312214,0.000312214
