epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.092,0.75697,3.44527,1.26945,0.00458,0.93392,0.21338,0.16601,0.5498,3.97592,1.15098,0.00021,0.00021,0.00021
2,244.224,0.72547,2.82692,1.21841,0.90416,0.02667,0.23495,0.17615,0.70753,3.64466,1.31231,0.000425743,0.000425743,0.000425743
3,363.317,0.79468,2.51591,1.20779,0.21456,0.434,0.25169,0.19548,0.80378,3.23262,1.40601,0.00063713,0.00063713,0.00063713
4,481.206,0.79755,2.38363,1.22,0.64614,0.2473,0.31958,0.24466,0.89428,3.76285,1.52277,0.000844161,0.000844161,0.000844161
5,599.482,0.75438,2.26772,1.17197,0.22249,0.44068,0.29424,0.20746,1.01822,4.16424,1.65755,0.0009604,0.0009604,0.0009604
6,717.629,0.78702,2.20671,1.20223,0.34544,0.30883,0.32628,0.24537,0.97805,2.97297,1.66667,0.0009505,0.0009505,0.0009505
7,835.677,0.77296,2.16053,1.18544,0.30662,0.41392,0.3227,0.23424,0.95337,3.00622,1.48675,0.0009406,0.0009406,0.0009406
8,953.55,0.79382,2.14971,1.19638,0.28846,0.48766,0.34777,0.24257,1.01952,3.08012,1.62088,0.0009307,0.0009307,0.0009307
9,1071.22,0.76848,2.04573,1.15823,0.28052,0.65193,0.39705,0.29783,0.85387,2.59559,1.47093,0.0009208,0.0009208,0.0009208
10,1189.43,0.72343,1.93866,1.1454,0.30348,0.43476,0.36578,0.27693,0.79354,2.80531,1.43803,0.0009109,0.0009109,0.0009109
11,1306.24,0.71784,1.86118,1.13438,0.38134,0.49338,0.38373,0.29405,0.75497,2.50222,1.31112,0.000901,0.000901,0.000901
12,1423.64,0.7567,1.82587,1.14728,0.54191,0.49857,0.42206,0.31942,0.8703,2.38779,1.44725,0.0008911,0.0008911,0.0008911
13,1541.98,0.73462,1.73108,1.13508,0.63204,0.46313,0.46419,0.3665,0.76119,2.3555,1.37242,0.0008812,0.0008812,0.0008812
14,1660.12,0.70027,1.70002,1.12595,0.42172,0.41157,0.35874,0.28689,0.71628,2.4757,1.2588,0.0008713,0.0008713,0.0008713
15,1778.1,0.7053,1.63446,1.12543,0.43541,0.67441,0.49468,0.38174,0.77009,2.041,1.34097,0.0008614,0.0008614,0.0008614
16,1895.66,0.72002,1.59759,1.13273,0.43517,0.51026,0.49349,0.3897,0.70365,2.14587,1.30979,0.0008515,0.0008515,0.0008515
17,2013.15,0.68615,1.61257,1.12105,0.39542,0.64364,0.47374,0.34772,0.91801,2.23175,1.49137,0.0008416,0.0008416,0.0008416
18,2131.57,0.69715,1.54177,1.09855,0.46929,0.60359,0.50982,0.39978,0.77419,1.95554,1.31788,0.0008317,0.0008317,0.0008317
19,2248.94,0.71337,1.45585,1.118,0.37545,0.63373,0.5018,0.40966,0.7062,1.84977,1.22694,0.0008218,0.0008218,0.0008218
20,2366.36,0.67956,1.48778,1.09937,0.40186,0.65079,0.43479,0.35109,0.68973,1.94752,1.21512,0.0008119,0.0008119,0.0008119
21,2483.67,0.66422,1.39209,1.07631,0.4366,0.50563,0.45807,0.36702,0.78264,1.95812,1.3069,0.000802,0.000802,0.000802
22,2601.04,0.67425,1.36575,1.09925,0.41227,0.65399,0.53163,0.4429,0.70573,1.90942,1.21309,0.0007921,0.0007921,0.0007921
23,2718.38,0.66273,1.37492,1.09121,0.4981,0.70888,0.55,0.45096,0.71376,1.66283,1.24771,0.0007822,0.0007822,0.0007822
24,2835.35,0.66517,1.36913,1.08989,0.45562,0.74492,0.53843,0.42981,0.67684,1.62893,1.18102,0.0007723,0.0007723,0.0007723
25,2954.12,0.64848,1.31268,1.0791,0.44732,0.74381,0.56674,0.46264,0.70514,1.57892,1.21373,0.0007624,0.0007624,0.0007624
26,3072.21,0.62838,1.29221,1.07727,0.44188,0.65546,0.55524,0.45507,0.69489,1.59161,1.23248,0.0007525,0.0007525,0.0007525
27,3189.71,0.65792,1.28145,1.08112,0.40623,0.67398,0.50821,0.41394,0.70707,1.66161,1.2285,0.0007426,0.0007426,0.0007426
28,3306.97,0.66601,1.26871,1.09125,0.41822,0.64709,0.518,0.42616,0.70006,1.67897,1.26888,0.0007327,0.0007327,0.0007327
29,3424.96,0.6297,1.2453,1.04727,0.47822,0.69719,0.51295,0.42027,0.65255,1.68238,1.20214,0.0007228,0.0007228,0.0007228
30,3542.32,0.61133,1.20202,1.06068,0.54319,0.71123,0.60447,0.49336,0.73568,1.49309,1.27481,0.0007129,0.0007129,0.0007129
31,3660.24,0.6332,1.20531,1.07373,0.47,0.65705,0.57333,0.46334,0.69262,1.49245,1.24119,0.000703,0.000703,0.000703
32,3778.78,0.60383,1.19508,1.0639,0.47266,0.78445,0.56969,0.46987,0.68829,1.4197,1.21769,0.0006931,0.0006931,0.0006931
33,3897.38,0.63266,1.1815,1.05939,0.47305,0.77875,0.55253,0.45096,0.71922,1.42134,1.28002,0.0006832,0.0006832,0.0006832
34,4014.73,0.65897,1.19537,1.0574,0.51836,0.70931,0.57885,0.47249,0.69169,1.40695,1.22949,0.0006733,0.0006733,0.0006733
35,4132.8,0.61149,1.18224,1.04932,0.50983,0.71435,0.57392,0.481,0.67523,1.42881,1.2193,0.0006634,0.0006634,0.0006634
36,4250.73,0.64469,1.1395,1.0724,0.5183,0.76897,0.53717,0.45085,0.65485,1.40456,1.15001,0.0006535,0.0006535,0.0006535
37,4369,0.63111,1.16094,1.0393,0.5085,0.80443,0.54327,0.44542,0.69951,1.37289,1.22789,0.0006436,0.0006436,0.0006436
38,4486.4,0.59114,1.12071,1.04963,0.52233,0.78382,0.55724,0.461,0.65232,1.36467,1.18311,0.0006337,0.0006337,0.0006337
39,4603.67,0.58512,1.1168,1.05376,0.47405,0.62245,0.50694,0.41218,0.72997,1.53845,1.28825,0.0006238,0.0006238,0.0006238
40,4721.64,0.59349,1.08472,1.0369,0.47552,0.75632,0.54403,0.45052,0.66997,1.40678,1.18988,0.0006139,0.0006139,0.0006139
41,4839.53,0.57828,1.07233,1.04222,0.45351,0.78498,0.53466,0.44289,0.63368,1.39749,1.13432,0.000604,0.000604,0.000604
42,4957.03,0.62074,1.05587,1.0472,0.47529,0.80388,0.56913,0.47997,0.61924,1.38803,1.1289,0.0005941,0.0005941,0.0005941
43,5074.7,0.61017,1.07254,1.04466,0.50175,0.74421,0.5765,0.47747,0.65739,1.38909,1.15093,0.0005842,0.0005842,0.0005842
44,5192.18,0.61288,1.07497,1.04111,0.47521,0.7496,0.52958,0.44744,0.64527,1.33659,1.13572,0.0005743,0.0005743,0.0005743
45,5309.47,0.59427,1.02921,1.03146,0.51161,0.63043,0.5624,0.46964,0.65652,1.35016,1.17217,0.0005644,0.0005644,0.0005644
46,5427.34,0.58128,1.11559,1.04386,0.50128,0.79803,0.58413,0.48631,0.64039,1.29999,1.1463,0.0005545,0.0005545,0.0005545
47,5545.49,0.58945,1.02663,1.05299,0.50932,0.74998,0.60299,0.50432,0.67032,1.31586,1.18665,0.0005446,0.0005446,0.0005446
48,5663.53,0.61358,1.034,1.03893,0.48,0.82257,0.54865,0.46082,0.63602,1.28766,1.14101,0.0005347,0.0005347,0.0005347
49,5781.39,0.57168,1.02911,1.0243,0.47437,0.83566,0.55538,0.46714,0.63496,1.31142,1.13658,0.0005248,0.0005248,0.0005248
50,5899.86,0.57277,0.99723,1.02274,0.49084,0.7627,0.52805,0.4268,0.71139,1.43778,1.27477,0.0005149,0.0005149,0.0005149
51,6017.28,0.55911,1.01432,1.03331,0.50347,0.83298,0.5561,0.46169,0.68037,1.36998,1.20424,0.000505,0.000505,0.000505
52,6134.93,0.56887,0.9817,1.0214,0.49544,0.76361,0.55344,0.46439,0.63296,1.52996,1.13713,0.0004951,0.0004951,0.0004951
53,6252.52,0.59367,0.98541,1.03891,0.49945,0.83189,0.53999,0.45196,0.64498,1.3954,1.17059,0.0004852,0.0004852,0.0004852
54,6369.64,0.5558,0.96932,1.02624,0.46924,0.81667,0.52568,0.44836,0.62668,1.35222,1.16239,0.0004753,0.0004753,0.0004753
55,6491.93,0.5679,0.96216,1.0455,0.47635,0.85868,0.54057,0.45207,0.65355,1.36028,1.19384,0.0004654,0.0004654,0.0004654
56,6614.88,0.56671,0.93564,1.03105,0.49256,0.85291,0.56385,0.46997,0.67069,1.30485,1.19636,0.0004555,0.0004555,0.0004555
57,6733,0.56534,0.97894,1.03715,0.45929,0.7933,0.54521,0.4504,0.70078,1.40173,1.25208,0.0004456,0.0004456,0.0004456
58,6852.22,0.55801,0.93327,1.01882,0.47513,0.78893,0.57314,0.46444,0.68908,1.35573,1.20081,0.0004357,0.0004357,0.0004357
59,6970.71,0.52541,0.92065,1.00261,0.49311,0.84743,0.57014,0.45553,0.68849,1.31721,1.20373,0.0004258,0.0004258,0.0004258
60,7088.02,0.52969,0.89731,1.01121,0.49949,0.778,0.55355,0.45005,0.69008,1.41024,1.21604,0.0004159,0.0004159,0.0004159
61,7208.16,0.52919,0.9236,1.01239,0.51088,0.81643,0.54786,0.45214,0.64478,1.28929,1.16029,0.000406,0.000406,0.000406
62,7326.86,0.54529,0.90514,1.01939,0.50159,0.83644,0.55743,0.46377,0.64681,1.25851,1.15029,0.0003961,0.0003961,0.0003961
63,7447.32,0.5118,0.91802,1.00519,0.48916,0.88009,0.56679,0.48645,0.60427,1.26299,1.14114,0.0003862,0.0003862,0.0003862
64,7566.77,0.55021,0.89631,1.018,0.4816,0.78144,0.56064,0.47711,0.63876,1.33804,1.16891,0.0003763,0.0003763,0.0003763
65,7686.18,0.56876,0.92162,1.04956,0.5063,0.78595,0.53969,0.45353,0.67817,1.37347,1.22667,0.0003664,0.0003664,0.0003664
66,7805.63,0.53105,0.88914,1.01105,0.49732,0.82891,0.54298,0.4537,0.71295,1.36892,1.24473,0.0003565,0.0003565,0.0003565
67,7925.37,0.53457,0.85947,1.00486,0.49456,0.84066,0.53235,0.44539,0.67299,1.39117,1.19662,0.0003466,0.0003466,0.0003466
68,8045.32,0.53706,0.85967,1.0175,0.49495,0.75273,0.51066,0.42711,0.68663,1.4138,1.19342,0.0003367,0.0003367,0.0003367
69,8165.22,0.50857,0.88195,0.998,0.50553,0.77421,0.52563,0.44052,0.68911,1.41904,1.1985,0.0003268,0.0003268,0.0003268
70,8282.91,0.52532,0.89326,1.00405,0.47016,0.79061,0.52722,0.43831,0.69907,1.35662,1.18766,0.0003169,0.0003169,0.0003169
71,8400.3,0.51886,0.87516,1.00229,0.50262,0.7977,0.52987,0.44109,0.69699,1.35733,1.20483,0.000307,0.000307,0.000307
72,8517.82,0.51316,0.85539,0.99719,0.50149,0.84319,0.53946,0.45199,0.64549,1.41249,1.20022,0.0002971,0.0002971,0.0002971
73,8633.81,0.50274,0.85922,1.002,0.4755,0.82956,0.5533,0.4571,0.67771,1.39935,1.20029,0.0002872,0.0002872,0.0002872
74,8750.3,0.49482,0.84044,0.99918,0.51466,0.82125,0.56378,0.46238,0.66319,1.34129,1.16397,0.0002773,0.0002773,0.0002773
75,8866.32,0.48767,0.84065,0.98137,0.5038,0.80929,0.53857,0.45223,0.64038,1.35813,1.15679,0.0002674,0.0002674,0.0002674
76,8983.26,0.51146,0.86438,1.00629,0.50457,0.81298,0.52781,0.44829,0.64275,1.40998,1.16811,0.0002575,0.0002575,0.0002575
77,9099.06,0.54205,0.83347,0.99427,0.47752,0.80797,0.52759,0.43977,0.67349,1.3755,1.19362,0.0002476,0.0002476,0.0002476
78,9214.81,0.52099,0.83119,0.99124,0.49639,0.78871,0.54705,0.45214,0.69089,1.35641,1.21056,0.0002377,0.0002377,0.0002377
79,9331.25,0.48067,0.79797,0.98912,0.48658,0.77446,0.54123,0.45477,0.67954,1.42312,1.19606,0.0002278,0.0002278,0.0002278
80,9446.59,0.48772,0.81705,0.98613,0.50468,0.76625,0.52187,0.43945,0.6801,1.51228,1.20694,0.0002179,0.0002179,0.0002179
81,9561.92,0.46837,0.81793,0.98907,0.49476,0.77893,0.51122,0.42833,0.66503,1.47251,1.18599,0.000208,0.000208,0.000208
82,9676.65,0.49285,0.80233,0.99685,0.51986,0.81195,0.52721,0.44351,0.67582,1.46195,1.21635,0.0001981,0.0001981,0.0001981
83,9792.59,0.48098,0.80595,0.99253,0.53689,0.82613,0.54637,0.46011,0.65955,1.42789,1.19342,0.0001882,0.0001882,0.0001882
84,9909.37,0.49585,0.84016,1.00481,0.52669,0.82528,0.54094,0.45058,0.64668,1.4376,1.16467,0.0001783,0.0001783,0.0001783
85,10025.8,0.47146,0.79756,0.97973,0.51604,0.80356,0.54225,0.45211,0.6522,1.42488,1.16852,0.0001684,0.0001684,0.0001684
86,10142.3,0.45942,0.77989,0.98124,0.50936,0.78437,0.54052,0.45586,0.64366,1.42489,1.15834,0.0001585,0.0001585,0.0001585
87,10259,0.46437,0.76934,0.98586,0.49828,0.78521,0.53216,0.44944,0.66044,1.45398,1.17654,0.0001486,0.0001486,0.0001486
88,10379,0.46924,0.81235,0.98317,0.47362,0.78904,0.52488,0.43873,0.66886,1.48558,1.19232,0.0001387,0.0001387,0.0001387
89,10496.4,0.45986,0.77202,0.99169,0.48663,0.78904,0.52632,0.44099,0.67422,1.47451,1.19708,0.0001288,0.0001288,0.0001288
90,10614.8,0.46735,0.78116,0.97938,0.50945,0.82535,0.53161,0.44747,0.6739,1.45548,1.19011,0.0001189,0.0001189,0.0001189
91,10733,0.42771,0.71784,0.95144,0.50109,0.82004,0.52152,0.43789,0.67328,1.5217,1.18221,0.000109,0.000109,0.000109
92,10850.4,0.43056,0.75965,0.95558,0.49758,0.80468,0.52286,0.43898,0.67888,1.56554,1.19549,9.91e-05,9.91e-05,9.91e-05
93,10968.5,0.43863,0.74634,0.98648,0.47281,0.78283,0.51519,0.43919,0.66624,1.52939,1.18136,8.92e-05,8.92e-05,8.92e-05
94,11086.8,0.40966,0.7274,0.95491,0.48598,0.7667,0.51222,0.43381,0.65246,1.51724,1.16421,7.93e-05,7.93e-05,7.93e-05
95,11203.6,0.41304,0.7135,0.93707,0.50598,0.77612,0.52038,0.44198,0.64263,1.49531,1.15521,6.94e-05,6.94e-05,6.94e-05
96,11320.2,0.41186,0.6968,0.94447,0.51024,0.78523,0.52114,0.44045,0.65605,1.49798,1.17149,5.95e-05,5.95e-05,5.95e-05
97,11435.2,0.40466,0.67839,0.93469,0.51569,0.78583,0.51952,0.43713,0.66186,1.50075,1.18974,4.96e-05,4.96e-05,4.96e-05
98,11551.3,0.40027,0.6748,0.92604,0.51926,0.79956,0.52087,0.44189,0.66763,1.51346,1.19687,3.97e-05,3.97e-05,3.97e-05
99,11667.7,0.3927,0.67976,0.92917,0.50467,0.77461,0.51423,0.43344,0.67161,1.53721,1.2007,2.98e-05,2.98e-05,2.98e-05
100,11784.1,0.39959,0.69396,0.94674,0.50743,0.80635,0.51795,0.4362,0.66948,1.56108,1.19631,1.99e-05,1.99e-05,1.99e-05
