epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6214,1.00078,4.19224,1.44688,0.00425,0.93254,0.28418,0.21413,0.62792,4.13589,1.18106,0.00013,0.00013,0.00013
2,39.3051,0.74785,3.55446,1.26513,0.00522,0.98413,0.35101,0.26342,0.6805,3.84502,1.19479,0.00024327,0.00024327,0.00024327
3,59.791,0.71369,2.98957,1.21175,0.95519,0.04343,0.44187,0.35621,0.74615,3.654,1.29782,0.00032882,0.00032882,0.00032882
4,80.2996,0.72663,2.7156,1.16994,0.95102,0.05556,0.40789,0.31335,0.77365,3.43477,1.26286,0.00038665,0.00038665,0.00038665
5,100.973,0.70114,2.40905,1.12459,0.60432,0.48693,0.55937,0.40638,0.87977,3.12643,1.37019,0.00041676,0.00041676,0.00041676
6,121.608,0.69395,2.26776,1.1067,0.53884,0.5013,0.61628,0.50244,0.8556,3.02801,1.30582,0.00041915,0.00041915,0.00041915
7,142.217,0.72771,2.07103,1.14722,0.61088,0.56455,0.67332,0.56724,0.80764,2.9117,1.23188,0.00039382,0.00039382,0.00039382
8,162.919,0.67161,2.04363,1.07927,0.67101,0.75858,0.73998,0.62556,0.78641,2.61565,1.15648,0.000307,0.000307,0.000307
9,184.248,0.63826,1.99157,1.06592,0.79909,0.70833,0.78269,0.65924,0.7881,2.46882,1.16173,0.000208,0.000208,0.000208
10,205.258,0.61962,1.82808,1.05359,0.64612,0.74654,0.76323,0.6624,0.72831,2.25702,1.13043,0.000109,0.000109,0.000109
