epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.266,0.93022,3.6992,1.35103,0.00476,0.91171,0.12121,0.09248,0.57027,4.12901,1.14291,0.00013,0.00013,0.00013
2,164.19,0.76545,3.09047,1.21738,0.00532,0.93684,0.12463,0.09117,0.68883,4.02087,1.2492,0.000267327,0.000267327,0.000267327
3,246.028,0.75289,2.56922,1.21778,0.00787,0.99074,0.2412,0.17705,0.81199,3.9761,1.35495,0.000401882,0.000401882,0.000401882
4,320.501,0.79721,2.2917,1.22092,0.36534,0.40697,0.38643,0.31054,0.81879,3.19987,1.3984,0.000533665,0.000533665,0.000533665
5,399.314,0.7854,2.14113,1.23739,0.55715,0.46145,0.38542,0.3038,0.84908,3.49919,1.38876,0.000662676,0.000662676,0.000662676
6,470.463,0.80164,2.15772,1.24103,0.47591,0.35267,0.35847,0.26876,0.83446,3.39727,1.41051,0.000788915,0.000788915,0.000788915
7,540.289,0.75135,1.95036,1.18455,0.381,0.63587,0.47072,0.37118,0.86508,3.09868,1.41867,0.000912382,0.000912382,0.000912382
8,609.546,0.80131,2.00511,1.22707,0.53371,0.56212,0.49943,0.36624,0.82438,3.35345,1.33248,0.0009307,0.0009307,0.0009307
9,680.247,0.78912,1.861,1.17793,0.39748,0.57349,0.473,0.31621,0.85874,3.55149,1.35547,0.0009208,0.0009208,0.0009208
10,751.287,0.8013,1.7523,1.19778,0.60927,0.71665,0.66459,0.46772,1.06203,3.56618,1.61371,0.0009109,0.0009109,0.0009109
11,823.233,0.75087,1.64842,1.15824,0.40606,0.46918,0.48387,0.37477,0.86933,4.87714,1.39919,0.000901,0.000901,0.000901
12,893.039,0.7552,1.62408,1.17984,0.65647,0.44312,0.43532,0.34554,0.87592,3.37619,1.50301,0.0008911,0.0008911,0.0008911
13,963.95,0.76923,1.57254,1.16905,0.66306,0.46354,0.47392,0.35083,0.92374,2.90429,1.58911,0.0008812,0.0008812,0.0008812
14,1034.43,0.71442,1.45977,1.1294,0.58043,0.6472,0.68767,0.49653,0.97439,2.99401,1.5056,0.0008713,0.0008713,0.0008713
15,1104.95,0.74206,1.44062,1.14865,0.65643,0.67858,0.72505,0.54163,0.91979,2.14862,1.41905,0.0008614,0.0008614,0.0008614
16,1175.54,0.74944,1.45229,1.14755,0.66423,0.53938,0.61016,0.47886,0.92784,2.41408,1.42006,0.0008515,0.0008515,0.0008515
17,1246.21,0.72943,1.35701,1.12079,0.57521,0.51396,0.48645,0.35606,0.97105,2.67511,1.46633,0.0008416,0.0008416,0.0008416
18,1316.73,0.72513,1.44897,1.13979,0.66245,0.66166,0.65272,0.50662,0.86728,2.4622,1.37573,0.0008317,0.0008317,0.0008317
19,1386.42,0.71035,1.34075,1.13406,0.69513,0.70339,0.76176,0.60697,0.86205,1.98444,1.2627,0.0008218,0.0008218,0.0008218
20,1459.19,0.69661,1.22734,1.11503,0.69497,0.71066,0.7581,0.62151,0.81789,2.22402,1.27024,0.0008119,0.0008119,0.0008119
21,1529.4,0.67315,1.20722,1.12793,0.74301,0.69403,0.76044,0.62027,0.85326,2.05738,1.33326,0.000802,0.000802,0.000802
22,1599.83,0.67487,1.1713,1.09578,0.78079,0.51364,0.67055,0.54551,0.88021,2.17583,1.29903,0.0007921,0.0007921,0.0007921
23,1670.37,0.67801,1.2225,1.10954,0.78359,0.54937,0.72019,0.57495,0.8715,2.03995,1.32915,0.0007822,0.0007822,0.0007822
24,1740.7,0.65254,1.17303,1.08887,0.91319,0.70568,0.8634,0.66283,0.9371,1.52834,1.3669,0.0007723,0.0007723,0.0007723
25,1810.95,0.65251,1.1081,1.088,0.79939,0.71572,0.81151,0.67791,0.76618,1.62569,1.19923,0.0007624,0.0007624,0.0007624
26,1881.05,0.65407,1.10443,1.10073,0.81327,0.74927,0.81746,0.69233,0.84621,1.64706,1.23789,0.0007525,0.0007525,0.0007525
27,1951.43,0.66147,1.06938,1.09766,0.76588,0.67582,0.7893,0.61979,0.88759,1.7409,1.27333,0.0007426,0.0007426,0.0007426
28,2021.39,0.67164,1.04951,1.11122,0.8279,0.76324,0.83551,0.70724,0.77616,1.52073,1.18807,0.0007327,0.0007327,0.0007327
29,2091.1,0.63032,1.0079,1.08297,0.81595,0.78216,0.86338,0.69242,0.84339,1.49313,1.27436,0.0007228,0.0007228,0.0007228
30,2161.07,0.65981,1.04949,1.09074,0.82419,0.61411,0.80526,0.68254,0.74735,1.68463,1.19527,0.0007129,0.0007129,0.0007129
31,2231.21,0.63609,0.99091,1.07247,0.79899,0.85472,0.81001,0.68349,0.82496,1.69645,1.25896,0.000703,0.000703,0.000703
32,2301.57,0.6731,0.97154,1.09334,0.76969,0.82975,0.83678,0.70065,0.85134,1.61004,1.29038,0.0006931,0.0006931,0.0006931
33,2371.93,0.62529,0.98856,1.10233,0.86384,0.87937,0.90187,0.76259,0.87578,1.2672,1.26666,0.0006832,0.0006832,0.0006832
34,2442.16,0.63896,0.93214,1.06883,0.83821,0.7494,0.87074,0.72205,0.86624,1.43119,1.2556,0.0006733,0.0006733,0.0006733
35,2512.31,0.64499,0.89666,1.07883,0.82536,0.8195,0.82978,0.70371,0.76529,1.45787,1.18782,0.0006634,0.0006634,0.0006634
36,2582.76,0.62357,0.91237,1.08311,0.81166,0.76694,0.84942,0.71203,0.77059,1.39965,1.20307,0.0006535,0.0006535,0.0006535
37,2652.81,0.63602,0.84915,1.04625,0.84769,0.84956,0.86902,0.71092,0.80291,1.19346,1.19811,0.0006436,0.0006436,0.0006436
38,2722.3,0.56438,0.84597,1.06088,0.83956,0.86025,0.87948,0.74889,0.76226,1.1707,1.21101,0.0006337,0.0006337,0.0006337
39,2791.87,0.59159,0.80207,1.04695,0.80705,0.83281,0.86257,0.7348,0.73292,1.24363,1.2189,0.0006238,0.0006238,0.0006238
40,2862.38,0.67521,0.8662,1.11972,0.89548,0.80612,0.87603,0.7577,0.70956,1.22696,1.15657,0.0006139,0.0006139,0.0006139
41,2934.71,0.60607,0.81905,1.06072,0.90485,0.81854,0.88353,0.75758,0.76727,1.11381,1.17012,0.000604,0.000604,0.000604
42,3026.76,0.62562,0.84581,1.05172,0.95303,0.78531,0.88368,0.75758,0.74117,1.1038,1.16184,0.0005941,0.0005941,0.0005941
43,3119.35,0.57872,0.75698,1.0555,0.85258,0.81765,0.88734,0.76139,0.7545,1.1201,1.16378,0.0005842,0.0005842,0.0005842
44,3208.18,0.57297,0.75414,1.03612,0.92934,0.85661,0.90161,0.77083,0.80219,1.11268,1.21606,0.0005743,0.0005743,0.0005743
45,3296.62,0.60799,0.75085,1.04802,0.93237,0.84774,0.91561,0.7905,0.75303,1.08678,1.17512,0.0005644,0.0005644,0.0005644
46,3385.39,0.59584,0.76375,1.03783,0.90899,0.862,0.92045,0.77196,0.77981,1.03141,1.19328,0.0005545,0.0005545,0.0005545
47,3473.36,0.58977,0.75206,1.02246,0.95618,0.81434,0.92693,0.79744,0.76439,0.96846,1.19815,0.0005446,0.0005446,0.0005446
48,3562.45,0.61281,0.72449,1.03293,0.93222,0.8444,0.92178,0.77295,0.8109,0.96857,1.2503,0.0005347,0.0005347,0.0005347
49,3653.68,0.57167,0.7268,1.01395,0.95523,0.88175,0.92118,0.7851,0.80468,0.93442,1.21241,0.0005248,0.0005248,0.0005248
50,3753.87,0.59644,0.68232,1.04867,0.90816,0.833,0.90317,0.76491,0.79227,1.08084,1.19251,0.0005149,0.0005149,0.0005149
51,3853.37,0.54311,0.6883,1.02509,0.89586,0.87309,0.89755,0.77022,0.77245,0.96805,1.16395,0.000505,0.000505,0.000505
52,3952.35,0.54456,0.67769,1.02316,0.88154,0.84671,0.87609,0.74557,0.77335,1.07347,1.17756,0.0004951,0.0004951,0.0004951
53,4045.65,0.54698,0.65235,1.01352,0.90317,0.8434,0.87888,0.73453,0.7882,1.08543,1.19988,0.0004852,0.0004852,0.0004852
54,4133.33,0.54197,0.65173,1.03747,0.87406,0.80853,0.8826,0.73116,0.78122,1.0708,1.17497,0.0004753,0.0004753,0.0004753
55,4220.59,0.56054,0.66852,1.03425,0.80183,0.85878,0.89227,0.75566,0.80019,1.08485,1.18619,0.0004654,0.0004654,0.0004654
56,4315.26,0.52691,0.6179,1.00438,0.92524,0.79692,0.88052,0.76235,0.72373,1.01872,1.13653,0.0004555,0.0004555,0.0004555
57,4406.47,0.54774,0.63426,1.01332,0.90827,0.84143,0.89775,0.77932,0.77354,0.94222,1.16856,0.0004456,0.0004456,0.0004456
58,4495.65,0.55469,0.61999,1.03149,0.83491,0.8342,0.90252,0.77102,0.75607,1.01626,1.15396,0.0004357,0.0004357,0.0004357
59,4583.29,0.524,0.61288,1.01223,0.84348,0.74202,0.86106,0.7306,0.76166,1.11139,1.18527,0.0004258,0.0004258,0.0004258
60,4670.95,0.53014,0.6153,1.03078,0.83818,0.81462,0.89586,0.75338,0.8,1.01879,1.22854,0.0004159,0.0004159,0.0004159
61,4758.44,0.52618,0.61048,0.99074,0.90176,0.84064,0.89391,0.75627,0.75688,0.97831,1.17465,0.000406,0.000406,0.000406
62,4846.51,0.52377,0.62939,1.01481,0.93701,0.84993,0.90856,0.7707,0.76843,0.96518,1.16883,0.0003961,0.0003961,0.0003961
63,4933.37,0.51408,0.60984,1.00336,0.95034,0.85846,0.92489,0.78479,0.77024,0.89617,1.166,0.0003862,0.0003862,0.0003862
64,5019.95,0.50912,0.57132,0.99815,0.92646,0.86125,0.92059,0.78459,0.77581,0.86391,1.16439,0.0003763,0.0003763,0.0003763
65,5106.18,0.54143,0.57686,1.02579,0.93596,0.88436,0.9298,0.79546,0.7801,0.82605,1.17322,0.0003664,0.0003664,0.0003664
66,5196.79,0.50744,0.54501,0.99311,0.90775,0.93048,0.92992,0.80881,0.70119,0.83362,1.11913,0.0003565,0.0003565,0.0003565
67,5287.47,0.5077,0.53869,1.005,0.86687,0.9264,0.92437,0.78941,0.73727,0.85878,1.15538,0.0003466,0.0003466,0.0003466
68,5377.72,0.49196,0.53543,0.98401,0.86856,0.92914,0.92559,0.79324,0.77342,0.83872,1.19879,0.0003367,0.0003367,0.0003367
69,5462.71,0.5115,0.58042,1.03389,0.88014,0.91009,0.92996,0.78569,0.76672,0.81805,1.19237,0.0003268,0.0003268,0.0003268
70,5547.33,0.51448,0.54047,1.00167,0.88813,0.9045,0.92696,0.79761,0.74361,0.84269,1.15677,0.0003169,0.0003169,0.0003169
71,5632.19,0.52092,0.58071,1.00797,0.9027,0.8963,0.92173,0.80035,0.75292,0.86784,1.17534,0.000307,0.000307,0.000307
72,5719.27,0.48138,0.51411,0.97875,0.92707,0.91159,0.92467,0.8121,0.72931,0.81367,1.16984,0.0002971,0.0002971,0.0002971
