epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.902,0.42578,2.54639,1.10302,0.47662,0.53521,0.40613,0.37229,0.34532,2.53141,0.90341,0.000254065,0.000254065,0.000254065
2,1198.01,0.33009,1.55437,1.00725,0.47468,0.56019,0.45155,0.40414,0.44268,2.43398,0.99178,0.000500292,0.000500292,0.000500292
3,1825.87,0.32283,1.34063,1.00333,0.40768,0.76803,0.58754,0.55927,0.30968,1.72885,0.84524,0.000736369,0.000736369,0.000736369
4,2604.76,0.30547,1.18675,0.98799,0.47427,0.61767,0.61217,0.57683,0.3684,1.33389,0.94431,0.000723321,0.000723321,0.000723321
5,3368.65,0.28228,1.03868,0.97606,0.46392,0.72183,0.60403,0.56244,0.37656,1.7431,0.93599,0.000708095,0.000708095,0.000708095
6,4063.51,0.27408,0.93181,0.97374,0.56938,0.65233,0.68182,0.64115,0.35745,1.02063,0.91315,0.000692869,0.000692869,0.000692869
