epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6252,0.93008,3.69923,1.35096,0.00477,0.91171,0.12224,0.09294,0.57455,4.13447,1.14662,0.00013,0.00013,0.00013
2,40.4237,0.75973,3.10215,1.21184,0.0052,0.95767,0.1264,0.09354,0.69763,3.99881,1.24927,0.000256635,0.000256635,0.000256635
3,61.4098,0.75025,2.57456,1.21841,0.00778,0.99074,0.29193,0.21777,0.83192,3.98013,1.37277,0.00036941,0.00036941,0.00036941
4,82.377,0.80393,2.29616,1.22471,0.48759,0.24603,0.31731,0.25394,0.81132,3.40142,1.36,0.000468325,0.000468325,0.000468325
5,103.327,0.76453,2.10911,1.22278,0.33606,0.49931,0.41672,0.34344,0.80335,3.14741,1.3544,0.00055338,0.00055338,0.00055338
6,123.989,0.7653,2.09399,1.20005,0.4648,0.39034,0.36113,0.28528,0.75257,3.26702,1.28091,0.000624575,0.000624575,0.000624575
7,144.719,0.7302,1.91718,1.16239,0.62806,0.40638,0.47263,0.36187,0.85144,3.46783,1.37711,0.00068191,0.00068191,0.00068191
8,165.585,0.77114,1.92491,1.19761,0.55791,0.45126,0.56088,0.43352,0.83083,3.07156,1.35834,0.0006535,0.0006535,0.0006535
9,186.417,0.74649,1.84413,1.15241,0.63923,0.49272,0.5779,0.47198,0.76795,2.79022,1.36466,0.000604,0.000604,0.000604
10,207.503,0.7527,1.6814,1.17593,0.69172,0.6727,0.71589,0.593,0.74336,2.45588,1.21751,0.0005545,0.0005545,0.0005545
11,227.876,0.70441,2.00536,1.17784,0.58992,0.63819,0.69731,0.54912,0.89434,2.74128,1.39856,0.000505,0.000505,0.000505
12,248.187,0.66849,1.97343,1.11637,0.72062,0.67418,0.72308,0.5614,0.84857,2.405,1.31892,0.0004555,0.0004555,0.0004555
13,268.613,0.65429,1.8427,1.11838,0.83454,0.57582,0.76012,0.61763,0.81481,2.15741,1.23841,0.000406,0.000406,0.000406
14,289.083,0.62666,1.7952,1.07517,0.80945,0.7076,0.77335,0.62772,0.81651,2.2433,1.23372,0.0003565,0.0003565,0.0003565
15,309.56,0.60897,1.63664,1.07811,0.7119,0.75594,0.77427,0.63473,0.81655,2.35207,1.23171,0.000307,0.000307,0.000307
16,330.057,0.59162,1.66588,1.05703,0.71279,0.75629,0.81535,0.68174,0.77796,2.03579,1.19202,0.0002575,0.0002575,0.0002575
17,350.541,0.60751,1.5188,1.0615,0.866,0.65454,0.78847,0.67167,0.74863,2.0863,1.16449,0.000208,0.000208,0.000208
18,371.202,0.59623,1.51527,1.04345,0.8386,0.74149,0.81791,0.6979,0.74461,1.95551,1.16163,0.0001585,0.0001585,0.0001585
19,392.31,0.5898,1.45268,1.03344,0.83245,0.73998,0.84063,0.70937,0.73659,1.88038,1.14943,0.000109,0.000109,0.000109
20,413.59,0.57321,1.38459,1.00431,0.77631,0.84303,0.86793,0.74659,0.72369,1.86273,1.13082,5.95e-05,5.95e-05,5.95e-05
