epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5145,0.74638,3.15242,1.2442,0.00722,0.98864,0.18884,0.13699,0.62905,3.47403,0.99558,0.000125,0.000125,0.000125
2,123.813,0.77822,2.5572,1.20594,0.00691,0.98864,0.2283,0.17852,0.59682,3.28659,0.95386,0.000259901,0.000259901,0.000259901
3,182.57,0.75685,2.11142,1.17152,0.27421,0.36916,0.28541,0.21505,0.68162,3.17836,1.07701,0.00039208,0.00039208,0.00039208
4,242.013,0.72644,2.01563,1.17406,0.47611,0.38979,0.32954,0.26485,0.7167,2.85991,1.08133,0.000521536,0.000521536,0.000521536
5,296.295,0.73875,1.8298,1.14703,0.24262,0.67524,0.37087,0.29182,0.68508,2.42761,1.06917,0.00064827,0.00064827,0.00064827
6,351.353,0.70503,1.79525,1.15307,0.24982,0.66654,0.34965,0.24923,0.93295,2.61924,1.28675,0.000772281,0.000772281,0.000772281
7,406.267,0.69631,1.65142,1.13459,0.22785,0.67045,0.39396,0.29332,0.86855,2.55991,1.23342,0.00089357,0.00089357,0.00089357
8,461.031,0.74502,1.72732,1.17232,0.29776,0.62696,0.40493,0.3161,0.72267,2.38035,1.08433,0.00101214,0.00101214,0.00101214
9,528.242,0.71781,1.66946,1.13212,0.25786,0.61648,0.43039,0.34011,0.75116,2.49244,1.0895,0.00112798,0.00112798,0.00112798
10,602.191,0.71824,1.5396,1.1097,0.34464,0.64083,0.41673,0.31803,0.89793,2.43464,1.31038,0.00113863,0.00113863,0.00113863
11,677.242,0.68132,1.4876,1.10735,0.32857,0.54328,0.4274,0.30964,0.8518,2.21748,1.21672,0.00112625,0.00112625,0.00112625
12,752.042,0.68016,1.4693,1.11715,0.38666,0.52112,0.49114,0.36327,0.85952,2.50575,1.28269,0.00111388,0.00111388,0.00111388
13,826.068,0.66164,1.52202,1.10759,0.33148,0.5986,0.49754,0.33473,0.92406,2.38194,1.30602,0.0011015,0.0011015,0.0011015
14,899.955,0.6834,1.38829,1.10396,0.51291,0.49179,0.55093,0.43899,0.70569,2.06158,1.06827,0.00108913,0.00108913,0.00108913
15,974.271,0.66432,1.2476,1.0743,0.60591,0.61037,0.56047,0.4536,0.78463,2.07367,1.11689,0.00107675,0.00107675,0.00107675
16,1049.51,0.66036,1.22197,1.08542,0.40653,0.61402,0.54925,0.45082,0.75818,2.11309,1.06883,0.00106437,0.00106437,0.00106437
17,1123.22,0.70896,1.27497,1.07993,0.39665,0.71334,0.55413,0.4487,0.74304,1.99559,1.0679,0.001052,0.001052,0.001052
18,1197.28,0.70986,1.25814,1.10537,0.53653,0.67577,0.66908,0.52476,0.84826,1.95,1.10366,0.00103962,0.00103962,0.00103962
19,1271.05,0.64503,1.17751,1.0672,0.50147,0.76957,0.64527,0.52817,0.74356,1.96417,1.04207,0.00102725,0.00102725,0.00102725
20,1344.5,0.67118,1.17322,1.08822,0.7074,0.50759,0.66859,0.54893,0.76929,1.66056,1.04595,0.00101488,0.00101488,0.00101488
21,1412.63,0.64076,1.13236,1.0748,0.55739,0.65304,0.72517,0.61376,0.65804,1.59215,0.98023,0.0010025,0.0010025,0.0010025
22,1465.37,0.59863,1.06799,1.0525,0.58064,0.61366,0.68281,0.54877,0.71141,1.57825,1.0175,0.000990125,0.000990125,0.000990125
23,1523.7,0.63357,1.07331,1.05778,0.57745,0.80534,0.80037,0.6652,0.70863,1.35284,1.02874,0.00097775,0.00097775,0.00097775
24,1577.85,0.60545,1.04228,1.06565,0.66225,0.66355,0.75596,0.6016,0.75145,1.48421,1.07183,0.000965375,0.000965375,0.000965375
25,1631.86,0.63065,0.97333,1.05286,0.49946,0.78716,0.7168,0.56345,0.83346,1.61624,1.08974,0.000953,0.000953,0.000953
26,1690.24,0.60201,0.99159,1.04775,0.43414,0.62535,0.54998,0.42556,0.81805,1.81933,1.11021,0.000940625,0.000940625,0.000940625
27,1745.36,0.64273,0.97891,1.05544,0.5695,0.7384,0.61483,0.49825,0.75127,1.7559,1.0436,0.00092825,0.00092825,0.00092825
28,1800.24,0.56463,0.90841,1.06281,0.54528,0.64213,0.52389,0.42859,0.70706,1.95162,1.01341,0.000915875,0.000915875,0.000915875
29,1854.05,0.57849,0.93771,1.02586,0.77443,0.62548,0.7138,0.60256,0.67347,1.55772,0.98017,0.0009035,0.0009035,0.0009035
30,1907.94,0.60858,0.88426,1.05099,0.65229,0.62229,0.69048,0.57945,0.70974,1.77862,1.01554,0.000891125,0.000891125,0.000891125
31,1962.61,0.60567,0.91151,1.03319,0.61984,0.74037,0.71925,0.60277,0.6994,1.45459,1.00249,0.00087875,0.00087875,0.00087875
32,2017,0.61385,0.87292,1.04733,0.69125,0.68279,0.79258,0.65073,0.74045,1.48107,1.02611,0.000866375,0.000866375,0.000866375
33,2071.11,0.56162,0.93341,1.03906,0.70365,0.80229,0.82492,0.69277,0.69525,1.44289,1.00965,0.000854,0.000854,0.000854
34,2125.19,0.57421,0.87539,1.03841,0.71149,0.81323,0.83624,0.70842,0.65335,1.51003,1.00402,0.000841625,0.000841625,0.000841625
35,2179.34,0.58872,0.83757,1.03207,0.78852,0.73125,0.80474,0.68429,0.64102,1.23278,0.98712,0.00082925,0.00082925,0.00082925
36,2237.21,0.59105,0.85928,1.04737,0.74764,0.80445,0.82726,0.67861,0.74615,1.18844,1.04069,0.000816875,0.000816875,0.000816875
37,2292.67,0.58173,0.82987,1.03343,0.74786,0.85088,0.86259,0.72753,0.70227,1.11392,1.01315,0.0008045,0.0008045,0.0008045
38,2347.75,0.57636,0.82326,1.02011,0.70623,0.76542,0.85393,0.75437,0.60291,1.20985,0.94918,0.000792125,0.000792125,0.000792125
39,2400.59,0.55156,0.85967,1.03425,0.63471,0.7545,0.80499,0.69117,0.58472,1.32542,0.9353,0.00077975,0.00077975,0.00077975
40,2453.3,0.56869,0.78715,1.00568,0.726,0.59861,0.72525,0.61061,0.64263,1.38262,0.9755,0.000767375,0.000767375,0.000767375
41,2505.88,0.55806,0.77002,1.01482,0.63181,0.77504,0.70851,0.58899,0.70308,1.46256,1.01984,0.000755,0.000755,0.000755
42,2558.18,0.57991,0.82631,1.02924,0.64471,0.80994,0.81719,0.70075,0.63136,1.18679,0.94082,0.000742625,0.000742625,0.000742625
43,2610.32,0.53452,0.74004,1.0218,0.72634,0.73818,0.82357,0.70916,0.63979,1.04601,0.94551,0.00073025,0.00073025,0.00073025
44,2662.69,0.54446,0.77342,1.0251,0.59169,0.85592,0.77101,0.65233,0.65581,1.16947,0.98228,0.000717875,0.000717875,0.000717875
45,2715.66,0.51049,0.73551,1.01383,0.62976,0.7786,0.80749,0.6916,0.66681,1.19225,1.00362,0.0007055,0.0007055,0.0007055
46,2768.59,0.51712,0.71757,0.98225,0.77635,0.70865,0.85701,0.73583,0.66039,1.25726,0.97074,0.000693125,0.000693125,0.000693125
47,2821.29,0.55646,0.73345,1.03487,0.83493,0.74953,0.86981,0.73613,0.66878,1.04777,1.00708,0.00068075,0.00068075,0.00068075
48,2874.71,0.50182,0.66828,0.99366,0.82454,0.70237,0.8463,0.69955,0.7067,1.11659,1.00573,0.000668375,0.000668375,0.000668375
